fips,pop2014
09003,897374.0
09005,187542.0
09007,165534.0
09009,863148.0
09011,274071.0
09013,152251.0
09015,117918.0
10001,167477.0
10003,545846.0
10005,203737.0
11001,633736.0
12001,251759.0
12003,27057.0
12005,172988.0
12007,27552.0
12009,548891.0
12011,1815269.0
12013,14657.0
12015,163151.0
12017,139771.0
12019,194868.0
12021,334474.0
12023,67662.0
12027,34785.0
12029,16137.0
12031,880750.0
12033,304099.0
12035,98843.0
12037,11636.0
12039,46865.0
12041,16948.0
12043,13190.0
12045,15781.0
12047,14466.0
12049,27549.0
12051,38360.0
12053,173792.0
12055,98261.0
12057,1279668.0
12059,19741.0
12061,140918.0
12063,49105.0
12065,14335.0
12067,8821.0
12069,305010.0
12071,647554.0
12073,280882.0
12075,40057.0
12077,8302.0
12079,18901.0
12081,335840.0
12083,334771.0
12085,149658.0
12086,2600861.0
12087,75208.0
12089,74918.0
12091,188984.0
12093,39398.0
12095,1200241.0
12097,289449.0
12099,1359074.0
12101,472745.0
12103,925030.0
12105,617323.0
12107,73191.0
12109,203402.0
12111,283988.0
12113,158240.0
12115,386944.0
12117,432135.0
12119,103708.0
12121,43404.0
12123,22690.0
12125,15258.0
12127,498981.0
12129,31015.0
12131,57821.0
12133,24660.0
13001,18421.0
13003,8297.0
13005,11196.0
13007,3342.0
13009,45854.0
13011,18317.0
13013,70873.0
13015,100771.0
13017,17547.0
13019,19091.0
13021,155237.0
13023,12912.0
13025,18463.0
13027,15766.0
13029,32185.0
13031,71940.0
13033,23136.0
13035,23469.0
13037,6549.0
13039,51193.0
13043,11056.0
13045,111872.0
13047,64955.0
13049,13098.0
13051,275303.0
13053,11846.0
13055,25484.0
13057,221951.0
13059,119681.0
13061,3110.0
13063,264221.0
13065,6777.0
13067,708920.0
13069,42947.0
13071,45987.0
13073,132362.0
13075,17061.0
13077,131419.0
13079,12536.0
13081,23403.0
13083,16533.0
13085,22500.0
13087,27508.0
13089,707185.0
13091,21365.0
13093,14443.0
13095,93890.0
13097,135037.0
13099,10662.0
13101,4018.0
13103,53673.0
13105,19694.0
13107,22731.0
13109,10868.0
13111,23632.0
13113,107930.0
13115,96146.0
13117,189314.0
13119,22051.0
13121,967100.0
13123,28441.0
13125,3086.0
13127,80937.0
13129,55666.0
13131,25239.0
13133,16190.0
13135,842091.0
13137,43342.0
13139,185318.0
13141,9043.0
13143,28563.0
13145,32539.0
13147,25406.0
13149,11674.0
13151,209069.0
13153,145622.0
13155,9482.0
13157,60928.0
13159,13647.0
13161,15028.0
13163,16554.0
13165,8794.0
13167,9850.0
13169,28783.0
13171,18128.0
13173,10356.0
13175,48028.0
13177,28805.0
13179,64489.0
13181,7800.0
13183,15967.0
13185,112515.0
13187,30719.0
13189,21563.0
13191,14172.0
13193,14232.0
13195,28142.0
13197,8751.0
13199,21434.0
13201,6017.0
13205,23175.0
13207,26788.0
13209,9e3
13211,17866.0
13213,39416.0
13215,198247.0
13217,101503.0
13219,33769.0
13221,14695.0
13223,145565.0
13225,27337.0
13227,29550.0
13229,18860.0
13231,17821.0
13233,41250.0
